"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 14:56:22",4,201,603,10.3
"5.6.2023 14:56:28",1,201,603,10.3
"5.6.2023 14:56:28",2,200,600,10
"5.6.2023 14:56:28",3,203,609,10.9
"5.6.2023 14:56:28",4,203,609,10.9
"5.6.2023 14:56:34",1,201,603,10.3
"5.6.2023 14:56:34",2,201,603,10.3
"5.6.2023 14:56:34",3,203,609,10.9
"5.6.2023 14:56:34",4,201,603,10.3
"5.6.2023 14:56:40",1,201,603,10.3
"5.6.2023 14:56:40",2,200,600,10
"5.6.2023 14:56:40",3,203,609,10.9
"5.6.2023 14:56:40",4,200,600,10
"5.6.2023 14:56:46",1,201,603,10.3
"5.6.2023 14:56:46",2,200,600,10
"5.6.2023 14:56:46",3,203,609,10.9
"5.6.2023 14:56:46",4,201,603,10.3
"5.6.2023 14:56:53",1,202,606,10.6
"5.6.2023 14:56:53",2,199,597,9.7
"5.6.2023 14:56:53",3,203,609,10.9
"5.6.2023 14:56:53",4,202,606,10.6
"5.6.2023 14:56:59",1,205,615,11.5
"5.6.2023 14:56:59",2,200,600,10
"5.6.2023 14:56:59",3,203,609,10.9
"5.6.2023 14:56:59",4,203,609,10.9
"5.6.2023 14:57:5",1,201,603,10.3
"5.6.2023 14:57:5",2,200,600,10
"5.6.2023 14:57:5",3,203,609,10.9
"5.6.2023 14:57:5",4,201,603,10.3
"5.6.2023 14:57:11",1,202,606,10.6
"5.6.2023 14:57:11",2,201,603,10.3
"5.6.2023 14:57:11",3,203,609,10.9
"5.6.2023 14:57:11",4,202,606,10.6
"5.6.2023 14:57:17",1,201,603,10.3
"5.6.2023 14:57:17",2,200,600,10
"5.6.2023 14:57:17",3,204,612,11.2
"5.6.2023 14:57:17",4,202,606,10.6
"5.6.2023 14:57:24",1,202,606,10.6
"5.6.2023 14:57:24",2,201,603,10.3
"5.6.2023 14:57:24",3,205,615,11.5
"5.6.2023 14:57:24",4,202,606,10.6
"5.6.2023 14:57:30",1,202,606,10.6
"5.6.2023 14:57:30",2,201,603,10.3
"5.6.2023 14:57:30",3,204,612,11.2
"5.6.2023 14:57:30",4,202,606,10.6
"5.6.2023 14:57:36",1,202,606,10.6
"5.6.2023 14:57:36",2,200,600,10
"5.6.2023 14:57:36",3,204,612,11.2
"5.6.2023 14:57:36",4,201,603,10.3
"5.6.2023 14:57:42",1,202,606,10.6
"5.6.2023 14:57:42",2,200,600,10
"5.6.2023 14:57:42",3,203,609,10.9
"5.6.2023 14:57:42",4,201,603,10.3
"5.6.2023 14:57:48",1,202,606,10.6
"5.6.2023 14:57:48",2,200,600,10
"5.6.2023 14:57:48",3,203,609,10.9
"5.6.2023 14:57:48",4,201,603,10.3
"5.6.2023 14:57:54",1,204,612,11.2
"5.6.2023 14:57:54",2,200,600,10
"5.6.2023 14:57:54",3,203,609,10.9
"5.6.2023 14:57:54",4,201,603,10.3
"5.6.2023 14:58:1",1,201,603,10.3
"5.6.2023 14:58:1",2,201,603,10.3
"5.6.2023 14:58:1",3,203,609,10.9
"5.6.2023 14:58:1",4,201,603,10.3
"5.6.2023 14:58:7",1,202,606,10.6
"5.6.2023 14:58:7",2,200,600,10
"5.6.2023 14:58:7",3,203,609,10.9
"5.6.2023 14:58:7",4,203,609,10.9
"5.6.2023 14:58:13",1,201,603,10.3
"5.6.2023 14:58:13",2,200,600,10
"5.6.2023 14:58:13",3,203,609,10.9
"5.6.2023 14:58:13",4,200,600,10
"5.6.2023 14:58:20",1,202,606,10.6
"5.6.2023 14:58:20",2,201,603,10.3
"5.6.2023 14:58:20",3,203,609,10.9
"5.6.2023 14:58:20",4,201,603,10.3
"5.6.2023 14:58:26",1,201,603,10.3
"5.6.2023 14:58:26",2,200,600,10
"5.6.2023 14:58:26",3,203,609,10.9
"5.6.2023 14:58:26",4,203,609,10.9
"5.6.2023 14:58:32",1,201,603,10.3
"5.6.2023 14:58:32",2,200,600,10
"5.6.2023 14:58:32",3,203,609,10.9
"5.6.2023 14:58:32",4,202,606,10.6
"5.6.2023 14:58:38",1,201,603,10.3
"5.6.2023 14:58:38",2,200,600,10
"5.6.2023 14:58:38",3,201,603,10.3
"5.6.2023 14:58:38",4,202,606,10.6
"5.6.2023 14:58:44",1,202,606,10.6
"5.6.2023 14:58:44",2,200,600,10
"5.6.2023 14:58:44",3,200,600,10
"5.6.2023 14:58:44",4,202,606,10.6
"5.6.2023 14:58:50",1,202,606,10.6
