"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:33:4",2,202,606,10.6
"8.6.2023 9:33:4",3,204,612,11.2
"8.6.2023 9:33:4",4,202,606,10.6
"8.6.2023 9:33:13",1,204,612,11.2
"8.6.2023 9:33:13",2,202,606,10.6
"8.6.2023 9:33:13",3,205,615,11.5
"8.6.2023 9:33:13",4,203,609,10.9
"8.6.2023 9:33:22",1,204,612,11.2
"8.6.2023 9:33:22",2,202,606,10.6
"8.6.2023 9:33:22",3,204,612,11.2
"8.6.2023 9:33:22",4,203,609,10.9
"8.6.2023 9:33:31",1,203,609,10.9
"8.6.2023 9:33:31",2,203,609,10.9
"8.6.2023 9:33:31",3,205,615,11.5
"8.6.2023 9:33:31",4,203,609,10.9
"8.6.2023 9:33:41",1,203,609,10.9
"8.6.2023 9:33:41",2,202,606,10.6
"8.6.2023 9:33:41",3,205,615,11.5
"8.6.2023 9:33:41",4,203,609,10.9
"8.6.2023 9:33:50",1,203,609,10.9
"8.6.2023 9:33:50",2,203,609,10.9
"8.6.2023 9:33:50",3,204,612,11.2
"8.6.2023 9:33:50",4,203,609,10.9
"8.6.2023 9:33:59",1,204,612,11.2
"8.6.2023 9:33:59",2,204,612,11.2
"8.6.2023 9:33:59",3,205,615,11.5
"8.6.2023 9:33:59",4,202,606,10.6
"8.6.2023 9:34:8",1,203,609,10.9
"8.6.2023 9:34:8",2,204,612,11.2
"8.6.2023 9:34:8",3,204,612,11.2
"8.6.2023 9:34:8",4,203,609,10.9
"8.6.2023 9:34:17",1,204,612,11.2
"8.6.2023 9:34:17",2,203,609,10.9
"8.6.2023 9:34:17",3,204,612,11.2
"8.6.2023 9:34:17",4,202,606,10.6
"8.6.2023 9:34:26",1,202,606,10.6
"8.6.2023 9:34:26",2,204,612,11.2
"8.6.2023 9:34:26",3,204,612,11.2
"8.6.2023 9:34:26",4,201,603,10.3
"8.6.2023 9:34:36",1,205,615,11.5
"8.6.2023 9:34:36",2,203,609,10.9
"8.6.2023 9:34:36",3,204,612,11.2
"8.6.2023 9:34:36",4,202,606,10.6
"8.6.2023 9:34:45",1,204,612,11.2
"8.6.2023 9:34:45",2,202,606,10.6
"8.6.2023 9:34:45",3,203,609,10.9
"8.6.2023 9:34:45",4,203,609,10.9
"8.6.2023 9:34:54",1,204,612,11.2
"8.6.2023 9:34:54",2,203,609,10.9
"8.6.2023 9:34:54",3,204,612,11.2
"8.6.2023 9:34:54",4,203,609,10.9
"8.6.2023 9:35:3",1,204,612,11.2
"8.6.2023 9:35:3",2,203,609,10.9
"8.6.2023 9:35:3",3,205,615,11.5
"8.6.2023 9:35:3",4,203,609,10.9
"8.6.2023 9:35:12",1,204,612,11.2
"8.6.2023 9:35:12",2,202,606,10.6
"8.6.2023 9:35:12",3,205,615,11.5
"8.6.2023 9:35:12",4,202,606,10.6
"8.6.2023 9:35:22",1,205,615,11.5
"8.6.2023 9:35:22",2,203,609,10.9
"8.6.2023 9:35:22",3,204,612,11.2
"8.6.2023 9:35:22",4,202,606,10.6
"8.6.2023 9:35:32",1,205,615,11.5
"8.6.2023 9:35:32",2,202,606,10.6
"8.6.2023 9:35:32",3,204,612,11.2
"8.6.2023 9:35:32",4,202,606,10.6
"8.6.2023 9:35:41",1,204,612,11.2
"8.6.2023 9:35:41",2,203,609,10.9
"8.6.2023 9:35:41",3,205,615,11.5
"8.6.2023 9:35:41",4,202,606,10.6
"8.6.2023 9:35:50",1,203,609,10.9
"8.6.2023 9:35:50",2,203,609,10.9
"8.6.2023 9:35:50",3,204,612,11.2
"8.6.2023 9:35:50",4,203,609,10.9
"8.6.2023 9:36:0",1,204,612,11.2
"8.6.2023 9:36:0",2,205,615,11.5
"8.6.2023 9:36:0",3,205,615,11.5
"8.6.2023 9:36:0",4,202,606,10.6
"8.6.2023 9:36:9",1,204,612,11.2
"8.6.2023 9:36:9",2,202,606,10.6
"8.6.2023 9:36:9",3,203,609,10.9
"8.6.2023 9:36:9",4,202,606,10.6
"8.6.2023 9:36:18",1,204,612,11.2
"8.6.2023 9:36:18",2,203,609,10.9
"8.6.2023 9:36:18",3,203,609,10.9
"8.6.2023 9:36:18",4,202,606,10.6
"8.6.2023 9:36:28",1,203,609,10.9
"8.6.2023 9:36:28",2,203,609,10.9
"8.6.2023 9:36:28",3,203,609,10.9
"8.6.2023 9:36:28",4,202,606,10.6
"8.6.2023 9:36:37",1,204,612,11.2
"8.6.2023 9:36:37",2,205,615,11.5
"8.6.2023 9:36:37",3,204,612,11.2
"8.6.2023 9:36:37",4,203,609,10.9
"8.6.2023 9:36:46",1,201,603,10.3
"8.6.2023 9:36:46",2,202,606,10.6
"8.6.2023 9:36:46",3,204,612,11.2
"8.6.2023 9:36:46",4,202,606,10.6
"8.6.2023 9:36:56",1,205,615,11.5
"8.6.2023 9:36:56",2,203,609,10.9
"8.6.2023 9:36:56",3,205,615,11.5
"8.6.2023 9:36:56",4,202,606,10.6
"8.6.2023 9:37:5",1,204,612,11.2
"8.6.2023 9:37:5",2,204,612,11.2
"8.6.2023 9:37:5",3,205,615,11.5
"8.6.2023 9:37:5",4,202,606,10.6
"8.6.2023 9:37:14",1,205,615,11.5
"8.6.2023 9:37:14",2,202,606,10.6
"8.6.2023 9:37:14",3,203,609,10.9
"8.6.2023 9:37:14",4,203,609,10.9
"8.6.2023 9:37:24",1,203,609,10.9
"8.6.2023 9:37:24",2,202,606,10.6
"8.6.2023 9:37:24",3,204,612,11.2
